State,#1 Theme,#1 Score (× US avg),#1 % of state coverage,#1 Articles,#2 Theme,#2 Score,#2 %,#2 Articles,#3 Theme,#3 Score,#3 %,#3 Articles
Alabama,"Sixteenth Street Baptist Church (Birmingham, Ala)",1740.7,0.56,4,Nitrogen,585.8,1.41,10,Embryos (Human),531.9,1.55,11
Alaska,Alaska Natives,603.9,3.04,7,Moose,462.5,1.3,3,Avalanches,391.8,4.35,10
Arizona,Saunas,311.7,0.45,6,Arizona Immigration Law (SB 1070),113.6,0.82,11,Navajo Indians,113.0,0.89,12
Arkansas,Tornadoes,231.2,8.66,31,Sheriffs,138.9,1.12,4,Cold and Cold Spells,108.4,1.12,4
California,Recall (Elections),78.3,1.35,183,Wildfires,41.8,5.04,683,Forest and Brush Fires,35.6,1.11,151
Colorado,Fourteenth Amendment (US Constitution),89.9,1.35,31,Forest and Brush Fires,69.7,2.18,50,Medical Marijuana,46.8,0.65,15
Connecticut,Bribery,20.5,1.66,136,Impeachment,14.0,1.6,131,Casinos,11.4,0.83,68
D.C.,US Federal Takeover of Metropolitan Police Dept (DC),194.1,1.09,73,Pentagon Building,121.8,26.6,1788,"Capitol Building (Washington, DC)",97.1,2.04,137
Delaware,Chickens,39.1,0.83,3,Tea Party Movement,26.0,1.38,5,Primaries and Caucuses,22.9,12.15,44
Florida,Cuban-Americans,119.8,2.91,203,"Life-Sustaining Support Systems, Withdrawal Of",75.3,1.09,76,Self-Defense,59.5,0.67,47
Georgia,Voter Fraud (Election Fraud),91.2,6.19,204,Racketeering and Racketeers,39.0,1.55,51,Tornadoes,26.7,1.0,33
Hawaii,Hula Bowl,3130.1,0.43,3,Ehime Maru (Ship),1453.2,3.76,26,Greeneville (Submarine),1341.5,4.34,30
Idaho,Nez Perce Indians,2534.6,0.59,3,Wolves,200.4,2.54,13,Eighth Amendment (US Constitution),149.5,0.78,4
Illinois,Federal Actions in US Cities,112.6,1.49,62,Democratic National Convention,27.8,1.33,55,Tornadoes,25.7,0.96,40
Indiana,Prairie Dogs,502.1,0.65,6,Blue Collar Workers,97.6,0.43,4,Monkeypox,93.2,0.76,7
Iowa,State and County Fairs,136.1,0.75,21,Primaries and Caucuses,56.4,29.95,840,Political Advertising,32.3,5.56,156
Kansas,Swatting (Crime),341.1,0.54,4,American Airlines Flight 5342,223.0,0.94,7,Dust and Sand Storms,202.3,0.4,3
Kentucky,Bourbon (Whiskey),288.6,1.0,11,Ten Commandments,158.3,0.64,7,Tornadoes,128.8,4.82,53
Louisiana,Superdome (New Orleans),896.0,0.5,12,Levees,643.3,1.16,28,Mardi Gras,314.4,1.66,40
Maine,Lobsters,182.7,2.16,17,Paper and Pulp,79.5,0.64,5,Migrant Labor,78.1,0.51,4
Maryland,Serial Murders,279.6,12.26,233,Ports,42.7,1.1,21,Maritime Accidents and Safety,41.4,2.1,40
Massachusetts,Logan International Airport (Boston),252.2,0.48,15,Priests,58.2,7.08,222,Informers,41.4,0.77,24
Michigan,Arab-Americans,146.2,2.34,62,Lead,146.0,3.66,97,Muslim Americans,36.0,1.24,33
Minnesota,Somali-Americans,572.1,2.09,35,Federal Actions in US Cities,252.0,3.34,56,Looting (Crime),117.4,0.6,10
Mississippi,Sheriffs,177.3,1.43,18,Tornadoes,120.6,4.52,57,Lynching,90.2,0.71,9
Missouri,Tornadoes,109.5,4.1,74,Traffic and Parking Violations,52.1,0.61,11,"Police Brutality, Misconduct and Shootings",49.5,20.57,371
Montana,Vermiculite,1408.7,0.46,3,Brucellosis,821.8,0.46,3,Bison,351.0,1.67,11
Nebraska,Keystone Pipeline System,214.9,2.82,16,Abandonment (Property),167.7,1.41,8,Oil Spills,84.8,0.71,4
Nevada,Burning Man Festival,199.3,0.86,14,Nuclear Wastes,163.6,3.3,54,Avalanches,71.7,0.8,13
New Hampshire,Primaries and Caucuses,59.9,31.82,644,Political Advertising,33.3,5.73,116,Endorsements,25.5,2.77,56
New Jersey,Tolls,29.2,0.87,165,Casinos,17.0,1.23,234,Property Taxes,16.2,0.88,166
New Mexico,Navajo Indians,325.8,2.58,22,Treasure Troves,206.7,0.47,4,Manhattan Project,147.2,0.59,5
